run,arm,bank_size,attack_intercept_rate,false_block_rate,task_progress_rate,valid_success_rate
1,No OCL,0,0.0,0.0,1.0,0.375
1,Hard criteria only,0,0.0,0.0,1.0,0.5
1,Unvalidated Bank,4,1.0,0.0,0.625,0.625
1,Validated Bank,0,0.0,0.0,1.0,0.5
2,No OCL,0,0.0,0.0,1.0,0.5
2,Hard criteria only,0,0.0,0.0,1.0,0.5
2,Unvalidated Bank,4,1.0,0.0,0.5,0.5
2,Validated Bank,0,0.0,0.0,1.0,0.5
3,No OCL,0,0.0,0.0,1.0,0.5
3,Hard criteria only,0,0.0,0.0,1.0,0.375
3,Unvalidated Bank,4,1.0,0.0,0.625,0.625
3,Validated Bank,0,0.0,0.0,1.0,0.375
